Subject, Start date
Uudenvuoden päivä, 01/01/2021
Loppiainen, 01/06/2021
Pitkäperjantai, 04/02/2021
Pääsiäispäivä, 04/04/2021
Vappu, 05/01/2021
Helatorstai, 05/13/2021
Helluntai, 05/23/2021
Uudenvuoden päivä, 01/01/2022
Loppiainen, 01/06/2022
Pitkäperjantai, 04/15/2022
Pääsiäispäivä, 04/17/2022
Vappu, 05/01/2022
Helatorstai, 05/26/2022
Helluntai, 06/05/2022
Uudenvuoden päivä, 01/01/2023
Loppiainen, 01/06/2023
Pitkäperjantai, 04/07/2023
Pääsiäispäivä, 04/09/2023
Vappu, 05/01/2023
Helatorstai, 05/18/2023
Helluntai, 05/28/2023